latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
13.0,80.125,15.0,39600,Australia/Sydney,AEDT

time,temperature_2m (°C),precipitation (mm),rain (mm),pressure_msl (hPa),surface_pressure (hPa),visibility (m),wind_speed_80m (km/h),wind_direction_80m (°),soil_temperature_6cm (°C),soil_moisture_1_to_3cm (m³/m³)
2024-01-04T00:00,27.0,0.00,0.00,1011.9,1010.2,24140.00,17.4,60,27.8,0.116
2024-01-04T01:00,26.6,0.00,0.00,1012.5,1010.8,24140.00,15.5,62,27.2,0.116
2024-01-04T02:00,26.2,0.00,0.00,1013.1,1011.4,24140.00,15.0,66,26.8,0.116
2024-01-04T03:00,26.0,0.00,0.00,1013.3,1011.6,24140.00,13.0,66,26.4,0.116
2024-01-04T04:00,25.8,0.00,0.00,1012.9,1011.2,24140.00,12.9,60,26.1,0.116
2024-01-04T05:00,25.5,0.00,0.00,1012.8,1011.1,24140.00,11.5,49,25.9,0.116
2024-01-04T06:00,25.2,0.00,0.00,1012.0,1010.3,24140.00,10.9,44,25.7,0.116
2024-01-04T07:00,25.0,0.00,0.00,1011.9,1010.2,24140.00,9.4,40,25.5,0.116
2024-01-04T08:00,24.8,0.00,0.00,1011.4,1009.7,24140.00,9.3,36,25.2,0.116
2024-01-04T09:00,24.6,0.00,0.00,1011.5,1009.8,24140.00,9.2,31,25.0,0.116
2024-01-04T10:00,24.5,0.00,0.00,1011.5,1009.8,24140.00,10.0,26,25.0,0.116
2024-01-04T11:00,24.8,0.00,0.00,1012.2,1010.5,22760.00,11.5,49,25.1,0.118
2024-01-04T12:00,24.6,0.00,0.00,1013.0,1011.3,24140.00,14.5,46,25.0,0.118
2024-01-04T13:00,25.1,0.00,0.00,1013.9,1012.2,24140.00,13.2,43,25.2,0.118
2024-01-04T14:00,26.2,0.00,0.00,1014.8,1013.1,24140.00,8.8,35,26.0,0.118
2024-01-04T15:00,27.4,0.00,0.00,1014.9,1013.2,24140.00,8.2,41,27.4,0.118
2024-01-04T16:00,28.2,0.00,0.00,1014.5,1012.8,24140.00,13.6,53,28.4,0.118
2024-01-04T17:00,29.2,0.00,0.00,1013.9,1012.2,24140.00,15.6,52,29.1,0.118
2024-01-04T18:00,29.6,0.00,0.00,1013.1,1011.4,24140.00,17.1,51,30.0,0.117
2024-01-04T19:00,29.6,0.00,0.00,1012.1,1010.4,24140.00,17.8,48,30.2,0.117
2024-01-04T20:00,29.3,0.00,0.00,1011.3,1009.6,23700.00,20.2,49,30.4,0.117
2024-01-04T21:00,28.7,0.00,0.00,1010.8,1009.1,24140.00,21.4,49,30.4,0.117
2024-01-04T22:00,27.8,0.00,0.00,1011.4,1009.7,23320.00,22.2,48,29.5,0.117
2024-01-04T23:00,26.6,0.00,0.00,1011.7,1010.0,24140.00,18.1,49,28.5,0.117
2024-01-05T00:00,26.0,0.00,0.00,1012.3,1010.6,24140.00,18.1,49,27.5,0.117
2024-01-05T01:00,25.6,0.00,0.00,1012.8,1011.1,24140.00,15.9,51,27.0,0.117
2024-01-05T02:00,25.5,0.00,0.00,1013.2,1011.5,24140.00,11.9,55,26.6,0.117
2024-01-05T03:00,25.7,0.00,0.00,1013.3,1011.6,24140.00,14.2,54,26.5,0.117
2024-01-05T04:00,25.9,0.00,0.00,1013.0,1011.3,24140.00,13.8,51,26.4,0.117
2024-01-05T05:00,25.8,0.00,0.00,1013.3,1011.6,24140.00,10.4,44,26.4,0.117
2024-01-05T06:00,25.6,0.00,0.00,1012.8,1011.1,24140.00,8.9,32,26.3,0.117
2024-01-05T07:00,25.4,0.00,0.00,1012.5,1010.8,24140.00,8.8,19,26.1,0.117
2024-01-05T08:00,25.1,0.00,0.00,1011.7,1010.0,24140.00,9.6,13,26.0,0.117
2024-01-05T09:00,25.0,0.00,0.00,1011.4,1009.7,24140.00,9.9,10,25.9,0.117
2024-01-05T10:00,25.0,0.00,0.00,1011.3,1009.6,24140.00,9.0,360,25.8,0.116
2024-01-05T11:00,25.0,0.00,0.00,1012.0,1010.3,24140.00,8.7,353,25.7,0.114
2024-01-05T12:00,24.8,0.00,0.00,1012.7,1011.0,24140.00,10.3,348,25.6,0.114
2024-01-05T13:00,25.0,0.00,0.00,1013.4,1011.7,24140.00,10.9,343,25.6,0.114
2024-01-05T14:00,25.9,0.00,0.00,1014.5,1012.8,24140.00,9.6,340,26.2,0.114
2024-01-05T15:00,27.0,0.00,0.00,1014.6,1012.9,24140.00,10.1,354,27.2,0.114
2024-01-05T16:00,28.5,0.00,0.00,1014.0,1012.3,24140.00,12.6,20,28.6,0.113
2024-01-05T17:00,29.0,0.00,0.00,1013.7,1012.0,24140.00,13.4,20,29.5,0.113
2024-01-05T18:00,29.2,0.00,0.00,1012.4,1010.7,24140.00,14.7,28,30.0,0.113
2024-01-05T19:00,29.4,0.00,0.00,1011.6,1009.9,24140.00,17.4,34,30.2,0.113
2024-01-05T20:00,29.0,0.00,0.00,1010.9,1009.2,24140.00,19.3,37,30.1,0.112
2024-01-05T21:00,28.1,0.00,0.00,1010.8,1009.1,24140.00,21.8,39,29.5,0.112
2024-01-05T22:00,26.8,0.00,0.00,1011.6,1009.9,24140.00,22.6,37,28.5,0.112
2024-01-05T23:00,26.1,0.00,0.00,1012.0,1010.3,24140.00,20.3,33,27.7,0.112
2024-01-06T00:00,25.9,0.00,0.00,1012.7,1011.0,24140.00,19.0,37,27.0,0.112
2024-01-06T01:00,25.8,0.00,0.00,1013.1,1011.4,24140.00,18.9,48,26.8,0.112
2024-01-06T02:00,25.8,0.00,0.00,1013.4,1011.7,24140.00,18.7,56,26.5,0.112
2024-01-06T03:00,25.8,0.00,0.00,1013.5,1011.8,24140.00,16.2,53,26.4,0.112
2024-01-06T04:00,25.7,0.00,0.00,1013.4,1011.7,24140.00,16.1,48,26.2,0.112
2024-01-06T05:00,25.6,0.00,0.00,1013.5,1011.8,24140.00,13.6,53,26.4,0.112
2024-01-06T06:00,25.4,0.10,0.00,1013.2,1011.5,24140.00,13.0,51,26.1,0.112
2024-01-06T07:00,25.2,0.00,0.00,1012.6,1010.9,23420.00,12.2,43,25.9,0.112
2024-01-06T08:00,25.0,0.00,0.00,1011.8,1010.1,21960.00,11.7,34,25.7,0.112
2024-01-06T09:00,24.8,0.00,0.00,1011.3,1009.6,24140.00,11.6,26,25.5,0.112
